Market,Channel,Region,Category,SubCategory,Brand,Variant,PackType,PPG,PackSize,Year,Month,Week,date,BrCatId,SalesValue,Volume,VolumeUnits,D1,D2,D3,D4,D5,D6,AV1,AV2,AV3,AV4,AV5,AV6,EV1,EV2,EV3,EV4,EV5,EV6,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,1,2,09-01-2021,Brand,3658.003155,837.7074535,3350.829814,20.59648688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,1,2,09-01-2021,Brand,2728.807527,969.5871204,2389.068729,15.77914239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,1,3,16-01-2021,Brand,3062.782636,705.3337904,2821.335161,19.20211971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,1,3,16-01-2021,Brand,2516.505065,896.8624762,2207.789072,15.29163469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,1,4,23-01-2021,Brand,2133.633434,380.1571139,1520.628456,14.3708627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,1,4,23-01-2021,Brand,2452.163621,871.4984744,2148.911964,14.55050061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,1,5,30-01-2021,Brand,2081.945909,325.7143899,1302.85756,11.77415408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,1,5,30-01-2021,Brand,2416.326376,862.5345481,2124.075587,15.34229084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,2,6,06-02-2021,Brand,2042.040732,289.6826473,1158.730589,11.81815294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,2,6,06-02-2021,Brand,2394.830176,849.3214768,2088.126305,15.3415849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,2,7,13-02-2021,Brand,2691.515899,545.1979899,2180.791959,16.72635734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,2,7,13-02-2021,Brand,2451.574532,870.5109188,2142.064477,15.28554552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,2,8,20-02-2021,Brand,2486.399915,576.5096267,2306.038507,16.76040101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,2,8,20-02-2021,Brand,2411.576415,865.7770123,2128.842725,15.299701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,2,9,27-02-2021,Brand,2571.762372,592.513271,2370.053084,17.10280514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,2,9,27-02-2021,Brand,2319.057433,825.2768029,2033.335104,14.63964011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,3,10,06-03-2021,Brand,2548.667556,525.9094366,2103.637746,16.21897068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,3,10,06-03-2021,Brand,2343.799811,832.1383246,2047.20384,14.92558231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,3,11,13-03-2021,Brand,2422.451189,447.2236084,1788.894434,15.64863594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,3,11,13-03-2021,Brand,2392.696848,847.2947065,2084.005955,15.2681709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,3,12,20-03-2021,Brand,2488.339516,470.2586312,1881.034525,15.73286235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,3,12,20-03-2021,Brand,2254.269362,797.6832539,1965.282594,14.73384516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,3,13,27-03-2021,Brand,2249.752827,390.3299795,1561.319918,14.4083182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,3,13,27-03-2021,Brand,2209.467355,784.4233695,1930.653624,14.61217858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,4,14,03-04-2021,Brand,1613.643805,256.3362526,1025.345011,10.6881742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,4,14,03-04-2021,Brand,2119.749714,751.4623216,1850.058529,14.17868965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,4,15,10-04-2021,Brand,1838.141296,260.133035,1040.53214,12.12705212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,4,15,10-04-2021,Brand,2225.000162,787.7018456,1939.215104,14.95524793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
